ball,bowler_batsman,result,commentary,length,line
93.1,"Cummins to Shami, OUT",W,"it doesn't matter. Digs it in short, and it rears towards the top of Shami's helmet. All he can do is get his hands up in a desperate attempt to fend it away, and gloves the loopiest, simplest catch to short leg",Short,Leg Stump
92.6,"Starc to Bumrah, FOUR runs",4,"full, slanting away from off stump, and that's well played by Bumrah. Not off the very middle of the bat, but close enough, as he gets a big stride forward - and that's the key - and slices this drive through point",Full,Outside Off
92.5,"Starc to Bumrah, no run",â€¢,"fullish, a little wider, left alone",Full,Outside Off
92.4,"Starc to Bumrah, no run",â€¢,"length ball zipping away outside off, has a poke at it and misses",Good,Outside Off
92.3,"Starc to Bumrah, no run",â€¢,"length ball slanting away from off stump, left alone",Good,Off Stump
92.2,"Starc to Yadav, OUT",W,"full on middle stump, and Umesh goes for the big slog but his weight is falling backwards as he plays it, and he slices it high in the air, behind the bowler, and mid-on runs across and takes a very well-judged catch",Full,Middle Stump
92.1,"Starc to Yadav, no run",â€¢,"full at the stumps. Looks to work it away leg side, but closes his bat face a touch early and squeezes it into the off side off the leading edge",Full,Off Stump
91.6,"Cummins to Yadav, 1 run",1,"full now, on off stump, and Umesh shows it as straight a bat as possible to squeeze a single into the covers. Just the outcome he'd have wanted",Full,Outside Off
91.5,"Cummins to Yadav, no run",â€¢,"ooh, big hoick. Cummins goes length now, angling into the stumps, but the ball bounces over the stumps as Umesh clears his front leg and swivels violently through the slog",Good,Leg Stump
91.4,"Cummins to Yadav, no run",â€¢,"bouncer over leg stump, ducks under",Short,Leg Stump
91.3,"Cummins to Yadav, no run",â€¢,"not the most unexpected reaction. Digs it in short again, but outside off. Backs away to try and make extra room for the big pull, but can't connect",Short,Outside Off
91.2,"Cummins to Yadav, FOUR runs",4,"shot. Latches onto the chance when Cummins bowls one full, angling into the stumps. Clears his front leg slightly and slogs it powerfully over wide mid-on",Full,Outside Off
91.1,"Cummins to Yadav, no run",â€¢,"bouncer angling in over leg stump and rising menacingly towards the head. Manages to duck under it, though not too far under",Short,Leg Stump
90.6,"Starc to Bumrah, no run",â€¢,"goes short now, slanting away from off stump. Left alone",Short,Off Stump
90.5,"Starc to Bumrah, no run",â€¢,"back of a length, a bit of bounce, slanting across to middle or middle and off. Squared up completely, but manages to keep his defensive push down into the covers",Good,Outside Off
90.4,"Starc to Bumrah, no run",â€¢,"fullish on off stump, defended to short extra-cover",Full,Outside Off
90.3,"Starc to Saha, OUT",W,"gone, that was one of those dismissals where you get a loose shot but kind of understand why the batsman played it. Didn't play it very well, though. Smart bowling from Starc, slants out a full, wide tempter, and Saha throws his hands at it, looking to drive through the covers. All he manages is an edge through to Paine. With the bounce on this pitch, the angled bat is an invitation for trouble. Could have maybe gone harder so the edge would fly over the cordon",Full,Outside Off
90.2,"Starc to Yadav, 1 leg bye",1lb,"shortish, at the hip, jumps to try and get on top of the bounce and work it square, ends up popping it briefly in the air,  but safely, into the backward square leg region",Short,Leg Stump
90.1,"Starc to Yadav, no run",â€¢,"full on middle and off, clears his front leg and drives firmly back to the bowler",Full,Off Stump
89.6,"Cummins to Yadav, 1 run",1,"ooh, not the greatest footwork. Full, angling into middle and leg and straightening a touch. Jabs at it without getting either of his feet across, and squirts a thick edge down to third man",Full,Middle Stump
89.5,"Cummins to Yadav, no run",â€¢,"back of a length close to off stump, hops to ride the bounce and defend to backward point",Good,Outside Off
89.4,"Cummins to Yadav, no run",â€¢,"what a ball to greet the new man. Angling into off stump, fullish length, jagging away sharply to beat the outside edge as Umesh jabs at it from the crease",Full,Off Stump
89.3,"Cummins to Ashwin, OUT",W,"edged, and Cummins finds a hole in Ashwin's technique. Great bowling, tests him with a fuller length outside off, and he doesn't get forward at all. Just pushes at it with hard hands, and the ball straightens to take his edge through to Tim Paine. It's the first outside-edge dismissal of the innings",Full,Outside Off
89.2,"Cummins to Ashwin, no run",â€¢,"length ball straightening towards off stump. Gets his weight forward into a push towards point. He's looking for one, but it's too close to the fielder to allow it",Good,Outside Off
89.1,"Cummins to Ashwin, no run",â€¢,"bouncer to start, rising steeply over off stump. Sways his upper body away from the line and evades it well",Short,Off Stump
88.6,"Hazlewood to Saha, no run",â€¢,"back of a length outside off, left alone, and that is... stumps, yes.",Good,Outside Off
88.5,"Hazlewood to Saha, no run",â€¢,"good leave again, not too far outside off but just short enough for Saha to trust the bounce",Short,Outside Off
88.4,"Hazlewood to Saha, FOUR runs",4,"full outside off, and that's a lovely shot from Saha, gets his weight forward even though his foot doesn't go that far. Gets his head more or less over the ball, and frees his arms to drive smoothly through cover point",Full,Outside Off
88.3,"Hazlewood to Saha, no run",â€¢,"length ball on off stump, a little fuller than the previous one. Defended into the on side, bottom hand dropping off the handle",Full,Off Stump
88.2,"Hazlewood to Saha, no run",â€¢,"ooh, tight leave, but I think he left it on length. In which case it's a very good leave. Length ball, nipping in and not missing off stump by much at all, in terms of line, but it misses by about a foot in terms of height",Good,Off Stump
88.1,"Hazlewood to Saha, no run",â€¢,"length ball on off stump, defended back to the bowler",Good,Off Stump
87.6,"Cummins to Ashwin, no run",â€¢,"back of a length, again it nips back to hit thigh pad, catching Ashwin mid-shuffle. Tried to jam his bat down quickly but couldn't bring it down quickly enough",Good,Leg Stump
87.5,"Cummins to Ashwin, no run",â€¢,"length ball angling in towards off stump, a bit of extra bounce. Nips past the inside edge of his hurried defensive jab, or maybe inside edge onto pad",Good,Off Stump
87.4,"Cummins to Ashwin, 2 leg byes",2lb,"fullish, angling down leg, tickled down to the right of fine leg. May have been just pad",Full,Leg Stump
87.3,"Cummins to Ashwin, FOUR runs",4,"short, gets up above Ashwin's left shoulder, and he takes on the hook. Doesn't control it perfectly, but times it well enough to find the gap, just out of reach of long leg running frantically to his right",Short,Leg Stump
87.2,"Cummins to Ashwin, no run",â€¢,"length ball on off stump, gets his front leg smartly out of the way and blocks it back to the bowler with a straight bat",Good,Off Stump
87.1,"Cummins to Ashwin, no run",â€¢,"full outside off, gets forward for the push drive to short extra",Full,Outside Off
86.6,"Hazlewood to Saha, no run",â€¢,"back of a length, straightens towards off stump. Manages to keep it down towards gully despite getting into an uncomfortable position while defending, dropping his bottom hand hurriedly. He plays almost all his shots from the same initial position, a firm half-forward press",Good,Outside Off
86.5,"Hazlewood to Saha, no run",â€¢,"length ball on off stump, a bit of extra bounce. Saha plays that very well, raising himself on his toes to get on top of it and defend close to his body, dropping the ball right by his feet",Good,Off Stump
86.5,"Hazlewood to Saha, (no ball) 2 runs",3nb,"length ball close to off stump, gets forward, head on top of the ball, and opens his bat face to steer it wide of gully",Good,Outside Off
86.4,"Hazlewood to Ashwin, 3 runs",3,"shot. Full, angling into middle stump, just shows it the full face and punches between the stumps at the other end and mid-on",Full,Middle Stump
86.3,"Hazlewood to Saha, 1 run",1,"back of a length, Hazlewood strays too straight again. Worked off the hip to long leg",Good,Off Stump
86.2,"Hazlewood to Saha, no run",â€¢,"length ball, nips in towards the thigh pad. Rides the bounce well and clips it down in front of short leg",Good,Leg Stump
86.1,"Hazlewood to Ashwin, 1 run",1,"back of a length, a touch too straight, tucked off the hip to long leg",Good,Off Stump
85.6,"Cummins to Saha, no run",â€¢,"back of a length, nips in sharply with extra bounce. Looks to hop and ride the bounce to defend, and the ball zips past his inside edge and hits thigh pad",Good,Leg Stump
85.5,"Cummins to Saha, no run",â€¢,"full outside off. Looks to drive away from his body, and plays it straighter than intended, off the inside half of the bat to short extra-cover",Full,Outside Off
85.4,"Cummins to Ashwin, 1 run",1,"back of a length close to off stump, smartly played. Lets it come on, and pushes to the right of point. Met that right under his eye",Good,Outside Off
85.3,"Cummins to Ashwin, no run",â€¢,"length ball on off stump, punched with the swing to short extra-cover",Good,Outside Off
85.2,"Cummins to Ashwin, 2 runs",2,"full on off stump, not much of a stride forward from Ashwin. There's some outswing, and he looks to drive through mid-off and ends up edging thickly to the right of gully",Full,Outside Off
