ball,bowler_batsman,result,commentary,length,line
130.6,"Starc to Vihari, no run",â€¢,"length ball outside off, defended from the crease",Good,Outside Off
130.5,"Starc to Vihari, no run",â€¢,"length ball in the channel, shouldered arms",Good,Unknown
130.4,"Starc to Vihari, no run",â€¢,beaten again. Fuller outside off this time. Vihari looks to reach there to defend and gets beaten,Full,Outside Off
130.3,"Starc to Vihari, no run",â€¢,"fuller around off, coming in with the angle and moves away after landing. Vihari was looking to drive and gets beaten",Full,Off Stump
130.2,"Starc to Vihari, no run",â€¢,"fuller around off, stays in his crease and defends",Full,Off Stump
130.1,"Starc to Vihari, FOUR runs",4,"fuller on the pads, flicked away towards fine leg for four",Full,Leg Stump
129.6,"Hazlewood to Ashwin, no run",â€¢,"fuller around off, Ashwin comes forward and drives it towards long-on. They don't run this time",Full,Off Stump
129.5,"Hazlewood to Ashwin, no run",â€¢,a rare play and miss. Fuller in the channel. Looks to for the drive and misses,Full,Unknown
129.4,"Hazlewood to Ashwin, no run",â€¢,"length ball outside off, punches it towards extra cover",Good,Outside Off
129.3,"Hazlewood to Ashwin, 2 runs",2,"length ball outside off, punches it towards long-on and they take not just a single but a double as Vihari comes back for the second",Good,Outside Off
129.2,"Hazlewood to Ashwin, no run",â€¢,"fuller around off, comes forward and blocks",Full,Off Stump
129.1,"Hazlewood to Ashwin, FOUR runs",4,short outside off and Ashwin swivel to pull it to the deep-backward square leg boundary,Short,Outside Off
128.6,"Starc to Vihari, FOUR runs",4,"short of length outside off, and out of nowhere, Vihari flays it past backward point for four",Good,Outside Off
128.5,"Starc to Vihari, no run",â€¢,"length ball around off, defended square of the wicket",Good,Off Stump
128.4,"Starc to Vihari, no run",â€¢,"fuller but down the leg side, ignored",Full,Leg Stump
128.3,"Starc to Vihari, no run",â€¢,"fuller around off, pushes it towards mid-on",Full,Off Stump
128.2,"Starc to Vihari, no run",â€¢,"fuller around off, comes forward and blocks",Full,Off Stump
128.1,"Starc to Vihari, no run",â€¢,"length ball around off, stays in his crease and defends",Good,Off Stump
127.6,"Hazlewood to Ashwin, no run",â€¢,"short of length at the batsman, punched through the vacant mid-on area but they don't want to risk running. And this too doesn't reach the boundary",Good,Unknown
127.5,"Hazlewood to Ashwin, no run",â€¢,"fuller on the stumps, flicked towards midwicket. And it stops just inside the boundary line",Full,Unknown
127.4,"Hazlewood to Ashwin, no run",â€¢,a bouncer but well outside off. Ashwin lets it go through to Paine,Short,Outside Off
127.3,"Hazlewood to Ashwin, no run",â€¢,"length ball in the channel, left alone",Good,Unknown
127.2,"Hazlewood to Ashwin, no run",â€¢,"length ball nipping back on from just outside off, looks to defend. Gets an inside edge on to the pad",Good,Outside Off
127.1,"Hazlewood to Ashwin, no run",â€¢,"length ball but down the leg side, goes for the flick but misses",Good,Leg Stump
126.6,"Starc to Vihari, no run",â€¢,"fuller and way outside off this time, left alone",Full,Outside Off
126.5,"Starc to Vihari, no run",â€¢,142.6kph. Kicks off from a length in the channel. Vihari was looking to defend and gets beaten,Good,Off Stump
126.5,"Starc to Vihari, (no ball)",1nb,"fuller on the stumps, around middle and leg. Vihari looks to flick but gets a leading edge towards gully, falls short. Starc has overstepped here though",Full,Outside Off
126.4,"Starc to Vihari, no run",â€¢,"fuller around off, comes forward and blocks",Full,Off Stump
126.3,"Starc to Vihari, no run",â€¢,"length ball angling on to the pads, flicked towards backward square leg. Falls well short of the fielder",Good,Leg Stump
126.2,"Starc to Vihari, no run",â€¢,"short of length around off, gets on his toes and blocks",Good,Off Stump
126.1,"Starc to Vihari, no run",â€¢,"length ball around off, defends it towards gully with an angled bat",Good,Outside Off
125.6,"Lyon to Ashwin, no run",â€¢,"fuller around off, comes forward and clips it towards short midwicket",Full,Off Stump
125.5,"Lyon to Ashwin, no run",â€¢,"length ball at the stumps, blocked again",Good,Unknown
125.4,"Lyon to Ashwin, no run",â€¢,"fuller around off, comes forward and pushes it down the ground",Full,Off Stump
125.3,"Lyon to Ashwin, no run",â€¢,"fuller around off, comes forward and blocks",Full,Off Stump
125.2,"Lyon to Ashwin, no run",â€¢,"length outside off, goes back and defends it on the leg side",Good,Outside Off
125.1,"Lyon to Ashwin, no run",â€¢,"length ball spinning in on middle and leg, defended",Good,Middle Stump
124.6,"Starc to Vihari, no run",â€¢,"almost a yorker, Vihari takes it on the full and defends it on the off side",Yorker,Off Stump
124.5,"Starc to Vihari, no run",â€¢,"in the blockhole, just outside off, Vihari looks to jam his bat at it but gets beaten on the outside edge",Unknown,Outside Off
124.4,"Starc to Vihari, no run",â€¢,"short of length but angling down the leg side, left alone",Good,Leg Stump
124.3,"Starc to Vihari, no run",â€¢,"fuller around off, comes forward and blocks",Full,Off Stump
124.2,"Starc to Vihari, no run",â€¢,"length ball angling in, gets behind it and defends",Good,Unknown
124.1,"Starc to Vihari, no run",â€¢,"length ball in the channel, looks to defend but gets beaten",Good,Unknown
123.6,"Lyon to Ashwin, no run",â€¢,"length outside off, goes back and punches it towards mid-off",Good,Outside Off
123.5,"Lyon to Ashwin, no run",â€¢,"fuller around off, comes forward and smothers it",Full,Off Stump
123.4,"Lyon to Ashwin, no run",â€¢,"fuller on the stumps, defended down the ground",Full,Unknown
123.3,"Lyon to Ashwin, no run",â€¢,"length ball on the stumps, defended",Good,Unknown
123.2,"Lyon to Ashwin, no run",â€¢,"length ball, comes forward and defends",Good,Unknown
123.1,"Lyon to Ashwin, no run",â€¢,"length ball on the stumps, defended",Good,Unknown
122.6,"Starc to Vihari, no run",â€¢,"another full delivery, Vihari jams this into the ground",Full,Unknown
122.5,"Starc to Vihari, no run",â€¢,"Paine has dropped a catch. Is that the Test as well? It was another fuller delivery from Starc, just around the off stump, Vihari looked to drive it down the ground, got a healthy outside edge that went to Paine's right. He went with one hand, reached there but couldn't latch on to. Not sure if he should have left it for the first slip",Full,Outside Off
122.4,"Starc to Vihari, no run",â€¢,"almost there. Fuller on the stumps, Vihari looks to flick it on the leg side, gets a leading edge through point that is stopped just inside. Vihari is not interested in running",Full,Outside Off
122.3,"Starc to Vihari, no run",â€¢,"short outside off, gets on the toes and defends it down on the off side",Short,Outside Off
122.2,"Starc to Vihari, no run",â€¢,"short of length, rising towards the batsman, takes the bottom hand off and drops it down",Good,Off Stump
122.1,"Starc to Vihari, no run",â€¢,"fuller outside off, driven towards mid-off from the front foot",Full,Outside Off
121.6,"Lyon to Ashwin, no run",â€¢,"length ball spinning down the leg side, goes for the flick but misses. An appeal for caught-behind, given not out",Good,Leg Stump
121.5,"Lyon to Ashwin, no run",â€¢,"length ball on the stumps, Ashwin was moving towards the off side but does well to adjust and block it",Good,Off Stump
121.4,"Lyon to Ashwin, no run",â€¢,"fuller around off, comes forward to defend. It spins past the bat to hit the pad. An appeal for lbw but the impact was outside off",Full,Outside Off
121.3,"Lyon to Ashwin, no run",â€¢,"length ball at the stumps, defended on the front foot",Good,Unknown
121.2,"Lyon to Ashwin, no run",â€¢,"pitched up around middle and leg, blocked again",Unknown,Middle Stump
121.1,"Lyon to Ashwin, no run",â€¢,"fuller on the pads, defended from the front foot",Full,Leg Stump
120.6,"Cummins to Vihari, no run",â€¢,"an appeal for lbw but was going down. Length ball on the stumps, misses the flick and is hit high on the thigh",Good,Unknown
120.5,"Cummins to Vihari, no run",â€¢,back to the bouncer. On the stumps this time. Vihari once again ducks under,Short,Unknown
120.4,"Cummins to Vihari, FOUR runs",4,"length ball outside off, keeps a touch low. Vihari looks to defend, gets a thick outside edge past the slip fielder",Good,Outside Off
120.3,"Cummins to Vihari, no run",â€¢,"quicker bouncer this time but once again down the leg side, Vihari leaves it alone once again",Short,Leg Stump
120.2,"Cummins to Vihari, no run",â€¢,slower bouncer but down the leg side. Vihari moves away from it,Short,Leg Stump
120.1,"Cummins to Vihari, FOUR runs",4,"short outside off, Vihari bends his back and dabs it over gully for four",Short,Outside Off
119.6,"Lyon to Ashwin, no run",â€¢,"length ball on the pads, flicked away but short leg is in the way",Good,Leg Stump
119.5,"Lyon to Ashwin, no run",â€¢,"length ball at the stumps, gets behind it and blocks watchfully",Full,Unknown
119.4,"Lyon to Ashwin, no run",â€¢,"length ball on the stumps, Ashwin once again moves across and looks to flick but misses and is struck on the pad. An appeal for lbw but denied. Was going down",Good,Leg Stump
119.3,"Lyon to Ashwin, no run",â€¢,"fuller on the stumps, Ashwin moves across and nudges it on the leg side",Full,Leg Stump
119.2,"Lyon to Ashwin, FOUR runs",4,"fuller and wider, Ashwin drives it through covers, a big gap there and he gets a boundary",Full,Outside Off
119.1,"Lyon to Ashwin, no run",â€¢,"fuller around off, comes forward and blocks",Full,Off Stump
118.6,"Cummins to Vihari, no run",â€¢,"fuller around off, comes forward and defends it under his eyes",Full,Off Stump
118.5,"Cummins to Vihari, no run",â€¢,"another short one, a tad further down the leg side, Vihari isn't looking to play at those. Gets under it once again",Short,Leg Stump
118.4,"Cummins to Vihari, no run",â€¢,"short again, on middle and leg, Vihari ducks under it",Short,Middle Stump
118.4,"Cummins to Vihari, (no ball)",1nb,"fuller outside off, driven towards mid-off with a decent front-foot stride. He overstepped there, so one more ball to negotiate for India",Full,Outside Off
118.3,"Cummins to Vihari, no run",â€¢,"another sharp bouncer, puts Vihari in an awkward position but he does well to fend it down. A desperate dive from Wade at short leg but it was still away from him",Short,Leg Stump
118.2,"Cummins to Vihari, no run",â€¢,"another bouncer, this time well directed. Vihari ducks under easily though",Short,Unknown
118.1,"Cummins to Ashwin, 1 run",1,"starts with a short one down the leg side, helped towards fine leg. And they take a single",Short,Leg Stump
117.6,"Lyon to Vihari, no run",â€¢,"length ball around off, stays back and defends",Good,Off Stump
117.5,"Lyon to Vihari, no run",â€¢,"fuller around off, lunges forward and blocks",Full,Off Stump
117.4,"Lyon to Vihari, no run",â€¢,"length ball spinning big, Vihari misses the flick and is hit on the pads. An appeal for lbw but was going down",Good,Leg Stump
117.3,"Lyon to Vihari, no run",â€¢,"spinning back sharply from outside off, Vihari looks to defend but gets a leading edge towards point",Unknown,Outside Off
117.2,"Lyon to Vihari, no run",â€¢,"pitched up outside off, lunges forward and blocks again",Unknown,Outside Off
117.1,"Lyon to Vihari, no run",â€¢,"fuller around off, comes forward and blocks",Full,Off Stump
116.6,"Hazlewood to Ashwin, FOUR runs",4,"once again goes for the yorker but this time ends up bowling a low full toss, Ashwin clips it through midwicket",Yorker,Unknown
116.5,"Hazlewood to Ashwin, no run",â€¢,"goes for the inswinging yorker, just misses his length. Ashwin is watchful and presents the full face of the bat",Yorker,Unknown
116.4,"Hazlewood to Ashwin, no run",â€¢,"short of length just outside off, rising towards the batsman but Ashwin does well to get on the top of it and drop it at his feet",Good,Outside Off
116.3,"Hazlewood to Ashwin, no run",â€¢,"length ball on the stumps, Ashwin is right behind it and defends",Good,Unknown
116.2,"Hazlewood to Ashwin, no run",â€¢,"short of length around off, gets on the toes and defends",Good,Off Stump
116.1,"Hazlewood to Ashwin, no run",â€¢,"short of length but down the leg side, left alone",Good,Leg Stump
115.6,"Green to Vihari, no run",â€¢,"length ball on the pads, tucked away towards square leg",Good,Leg Stump
115.5,"Green to Vihari, no run",â€¢,"pitched up, just outside off, blocked on the front foot",Unknown,Outside Off
115.4,"Green to Vihari, no run",â€¢,"fuller around off, comes forward and blocks",Full,Off Stump
115.3,"Green to Vihari, no run",â€¢,"short of length around off, turns it towards short leg",Good,Off Stump
115.2,"Green to Vihari, no run",â€¢,"length ball around off, Vihari stays in the crease and defends",Good,Off Stump
115.2,"Green to Vihari, 1 wide",1w,another bouncer but way down the leg side and balloons up. Called a wide,Short,Outside Off
115.1,"Green to Vihari, no run",â€¢,starts with a bouncer but Vihari had no problem ducking under it,Short,Unknown
114.6,"Hazlewood to Vihari, 1 run",1,"yorker, tailing into him, and it's squeezed through square leg at the last moment off an inside edge",Yorker,Off Stump
114.5,"Hazlewood to Vihari, no run",â€¢,"length on off, nipping away, Vihari was well behind it and deep in his crease so he's able to squirt it away towards cover",Good,Outside Off
114.4,"Hazlewood to Vihari, no run",â€¢,"bouncer, but over leg stump, ducks under",Short,Leg Stump
