ball,bowler_batsman,result,commentary,length,line
100.4,"Cummins to Siraj, OUT",W,"It's a length delivery that's close to the stumps, and it's actually been given out because Australia believe there was an edge. Wasn't much of an appeal there but he was given out almost immediately. India review and Snicko confirms there was an outside edge as Siraj tried to poke after backing away a bit",Good,Unknown
100.3,"Cummins to Siraj, no run",â€¢,doesn't move much this time and ducks yet again under the bouncer,Short,Unknown
100.2,"Cummins to Siraj, no run",â€¢,"makes room early this time, it's short again and he tries to get bat on it but misses",Short,Unknown
100.1,"Cummins to Siraj, no run",â€¢,"oh, he's ducked under it almost as soon as it's been delivered. Siraj sees the ball come out of the hand and ducks, and then has a smile for Cummins",Short,Unknown
99.6,"Green to Jadeja, FOUR runs",4,"short, pulled and that's four! Useful runs for India but it means Siraj on strike against Starc in the next over",Short,Unknown
99.5,"Green to Jadeja, no run",â€¢,"another run out on the cards, not a direct hit this time. Jadeja nudges the ball to leg and Siraj wants one so that Jadeja keeps strike for next over, he's sent back quickly and the midwicket fielder misses the stumps at the bowler's end",Unknown,Leg Stump
99.4,"Green to Jadeja, no run",â€¢,"short ball rising on Jadeja, he stays back and keeps it down",Short,Unknown
99.3,"Green to Jadeja, no run",â€¢,goes for the cut outside off and misses this time,Unknown,Outside Off
99.2,"Green to Jadeja, no run",â€¢,"the short ball barrage continues, Jadeja lets this one go",Short,Unknown
99.1,"Green to Jadeja, no run",â€¢,Jadeja makes room early for the short ball and scythes that fine to third man. They decide against the single,Short,Leg Stump
98.6,"Starc to Jadeja, 1 run",1,"short ball outside off, Jadeja ramps and it's hurrying towards the boundary where Lyon does very well to slide and save a few. Jadeja keeps strike",Short,Outside Off
98.5,"Starc to Jadeja, no run",â€¢,"almost taken at short leg! Jadeja flicks that and it went quickly to Labuschagne's right, he did very well to get a hand to it but it didn't stick in",Short,Leg Stump
98.4,"Starc to Jadeja, no run",â€¢,"awkward short ball towards the ribs, makes Jadeja hop and he defends.",Short,Unknown
98.3,"Starc to Jadeja, 2 runs",2,"length delivery outside off, Jadeja pushes it into the covers and that's another quick two",Good,Outside Off
98.2,"Starc to Jadeja, 2 runs",2,"goes for a big heave, doesn't middle it at all and the ball goes high right behind the keeper towards the boundary. Lyon chases it from third man and Jadeja hurries back for the second",Unknown,Middle Stump
98.1,"Starc to Jadeja, FOUR runs",4,"starts with the short ball, Jadeja attacks with a hook and he gets enough on that to beat fine leg and it lands just inside the boundary rope",Short,Leg Stump
97.6,"Green to Siraj, no run",â€¢,"bouncer to end the over, he ducks under it. Six from the over",Short,Unknown
97.5,"Green to Siraj, FOUR runs",4,"that's a cracking cut from Siraj! Makes room early for the ball outside off, and scythes it away past point. He'll be pleased with that",Unknown,Outside Off
97.4,"Green to Siraj, 2 runs",2,tries the yorker this time but it's a low full toss and Siraj pushes it down the ground for two,Yorker,Unknown
97.3,"Green to Siraj, no run",â€¢,expects the short ball and ducks under it quickly,Short,Unknown
97.2,"Green to Siraj, no run",â€¢,"wonderful delivery at 141kmh, on length and only a whisker outside off, Siraj drives without moving his feet and misses it",Good,Outside Off
97.1,"Green to Siraj, no run",â€¢,short ball for Siraj and he lets it go,Short,Unknown
96.6,"Starc to Jadeja, no run",â€¢,"short ball to end the over, Jadeja drops his hands at the end. Siraj on strike for next over",Short,Unknown
96.5,"Starc to Jadeja, FOUR runs",4,"outside off, Jadeja heaves again and this time gets an edge thick enough to beat Paine's dive to the right side for another four",Unknown,Outside Off
96.5,"Starc to Jadeja, (no ball) FOUR runs",5nb,"little full, Jadeja goes after it and slogs it down the ground past mid-on and picks up four",Full,Unknown
96.4,"Starc to Jadeja, no run",â€¢,"short ball, not a bouncer, Jadeja pulls and misses",Short,Unknown
96.3,"Starc to Jadeja, 1 run, OUT",W,"another direct hit, third run out of the innings because Jadeja wanted two. Jadeja flicked this one off the pads just past short leg and he easily got one but he wanted one more to retain strike, and turned around quickly, but Labuschagne did well to quickly pick up and fire a throw at the bowler's end where Bumrah is short",Short,Off Stump
96.2,"Starc to Jadeja, no run",â€¢,"proper bouncer, this one closer to Jadeja but he can duck under it easily",Short,Unknown
96.1,"Starc to Jadeja, no run",â€¢,"starts with a short ball that's slanting across, he lets it go",Short,Unknown
95.6,"Lyon to Bumrah, no run",â€¢,he does well to lean forward to the pitch off the ball and block it,Unknown,Off Stump
95.5,"Lyon to Jadeja, 1 run",1,"Lyon errs on the pads, and Jadeja happily nudges it to deep midwicket. Settles for one even though there might have been two",Unknown,Leg Stump
95.4,"Lyon to Jadeja, no run",â€¢,"on length and quicker at 90kmh outside off, he cuts to point",Good,Outside Off
95.3,"Lyon to Jadeja, no run",â€¢,"more towards middle now, leans forward and blocks again",Unknown,Middle Stump
95.2,"Lyon to Jadeja, no run",â€¢,"nicely flighted around off, he lunges forward and blocks this time",Unknown,Off Stump
