ball,bowler_batsman,result,commentary,length,line
72.3,"Jadeja to Cummins, OUT",W,"goes for the slog sweep and a good catch by Siraj, pedalling back towards long-on. No five-for for Bumrah but India wrap up Australia under 200. Was a length ball around off and spinning away and Cummins decided there is no point playing the waiting game. Went for it but couldn't middle as the ball was spinning away",Good,Outside Off
72.2,"Jadeja to Cummins, no run",â€¢,"length ball on the stumps, some turn, gets behind it and blocks",Good,Unknown
72.1,"Jadeja to Cummins, no run",â€¢,"fuller around off, pushes it gently towards extra cover",Full,Outside Off
71.6,"Bumrah to Hazlewood, FOUR runs",4,"loses his radar and ends up bowling it full down the leg side, clipped away to the fine leg boundary",Full,Leg Stump
71.5,"Bumrah to Lyon, OUT",W,"two bouncers followed by a fuller one. It was fast and straight and thuds into Lyon's pads before he could get his bat down. Up goes the finger. The only doubt is if it's going down. There's no bat, the impact is on middle and leg and it would have just gone on to clip the leg stump, the on-field umpire's call stays as it is. Bumrah gets his fourth",Full,Middle Stump
71.4,"Bumrah to Lyon, FOUR runs",4,"another short one and even better shot from Lyon. Pulls it over midwicket on this occasion, four more to him",Short,Unknown
71.3,"Bumrah to Lyon, SIX runs",6,"Bumrah goes for the bouncer, Lyon for the pull and makes a good enough connection to swivel it over fine leg, all the way for a six",Short,Leg Stump
71.2,"Bumrah to Lyon, 2 runs",2,"length ball moving away slightly off the seam, Lyon looks to drive and gets a thick outside edge behind point",Good,Outside Off
71.1,"Bumrah to Lyon, no run",â€¢,"fuller on the stumps, drives but cannot beat mid-on",Full,Unknown
70.6,"Jadeja to Cummins, no run",â€¢,"fired in at middle and leg, Cummins defends it from the crease",Unknown,Middle Stump
70.5,"Jadeja to Cummins, no run",â€¢,"fuller around off, comes forward and blocks",Full,Off Stump
70.4,"Jadeja to Cummins, no run",â€¢,"flatter one outside off, Cummins was stuck on the back foot, looks to defends but gets beaten by the turn",Good,Outside Off
70.3,"Jadeja to Lyon, 1 run",1,"length around off and spinning away, Lyon looks to defend but gets a thick outside edge past slip",Good,Outside Off
70.2,"Jadeja to Lyon, no run",â€¢,"length ball around off, bowled at 92.2kph, defended from the crease",Good,Off Stump
70.1,"Jadeja to Cummins, 1 run",1,"starts with a fuller one outside off, driven to long-off",Full,Outside Off
69.6,"Bumrah to Lyon, no run",â€¢,"looks to pull, gets pinged on the thigh pad",Short,Leg Stump
69.5,"Bumrah to Lyon, 2 runs",2,"stands tall and punches this back past the bowler and mid-off, lovely tming",Unknown,Off Stump
69.4,"Bumrah to Lyon, no run",â€¢,full toss that he pushes straight to cover,Yorker,Outside Off
69.3,"Bumrah to Lyon, FOUR runs",4,"steered past the gully region for a boundary. Used the pace to open the bat face late, nicely done",Unknown,Outside Off
69.2,"Bumrah to Lyon, no run",â€¢,stands tall and punches back down the pitch,Unknown,Unknown
69.1,"Bumrah to Lyon, no run",â€¢,"looks to take him on with the hook shot, not far from the gloves as he's beaten for pace",Short,Unknown
68.6,"Ashwin to Cummins, FOUR runs",4,heaved into the leg side and he's clobbered that. Just short of being a six! But not something Ashwin will mind,Short,Leg Stump
68.5,"Ashwin to Cummins, no run",â€¢,"slow turn from length outside off, defended",Good,Outside Off
68.4,"Ashwin to Lyon, 1 run",1,tucks it wide of square leg for an easy single,Unknown,Outside Off
68.3,"Ashwin to Lyon, no run",â€¢,"pushed to cover, no chance of a single",Good,Outside Off
68.2,"Ashwin to Lyon, no run",â€¢,"goes across to sweep, beaten as he was too early into the stroke, Ashwin also drifted this down leg",Unknown,Leg Stump
68.1,"Ashwin to Lyon, no run",â€¢,gets well forward and defends,Unknown,Unknown
67.6,"Bumrah to Cummins, no run",â€¢,right behind the line as he defends this incoming length ball,Good,Unknown
67.5,"Bumrah to Cummins, 2 runs",2,"gloves this away down to fine leg for a couple of runs, looked very uncomfortable as he tried to evade that",Unknown,Leg Stump
67.4,"Bumrah to Cummins, no run",â€¢,duck under this sharp bouncer honing into his body,Short,Unknown
67.3,"Bumrah to Cummins, no run",â€¢,"full nip-backer this, Cummins leaves, wasn't far from the off stump",Full,Off Stump
67.2,"Bumrah to Cummins, no run",â€¢,squeezes this full delivery into the leg side,Full,Leg Stump
67.1,"Bumrah to Starc, OUT",W,"bounces him out! Angled in short, furious pace and it's too good for Starc who is late on the hook, gets the top edge and Siraj takes it nice and easy at fine leg.",Short,Leg Stump
66.6,"Ashwin to Cummins, no run",â€¢,"fuller, flatter, not much turn, defended as he gets forward",Full,Unknown
66.5,"Ashwin to Cummins, no run",â€¢,"slow turn off a length, turned to Vihari at backward short leg",Good,Off Stump
66.4,"Ashwin to Cummins, no run",â€¢,"flighted but there's not much fizz on this one, comfortably defended by Cummins",Unknown,Unknown
66.3,"Ashwin to Cummins, no run",â€¢,gets forward and plays with his bat well in front of the pad,Unknown,Leg Stump
66.2,"Ashwin to Cummins, no run",â€¢,lunges forward and blocks,Unknown,Unknown
66.1,"Ashwin to Cummins, no run",â€¢,"skids one through outside off, left alone",Unknown,Outside Off
65.6,"Bumrah to Starc, 2 runs",2,throws his bat at that and ends up slicing it behind point for a couple of runs,Unknown,Outside Off
65.5,"Bumrah to Starc, FOUR runs",4,attempts to slip it into the yorker but ends up overpitching and Starc flicks this superbly between midwicket and mid-on,Yorker,Outside Off
65.4,"Bumrah to Cummins, 1 run",1,tucks this into the leg side as they scamper a quick single,Unknown,Leg Stump
65.3,"Bumrah to Cummins, no run",â€¢,"dug in short, flies past Cummins' shoulder",Short,Unknown
65.2,"Bumrah to Starc, 1 run",1,"goes full, squirted wide of cover to get off the mark",Full,Outside Off
65.1,"Bumrah to Starc, no run",â€¢,"slants one in on a length, defended",Good,Unknown
64.6,"Ashwin to Cummins, no run",â€¢,"flatter one on the stumps, goes right back to defend",Good,Unknown
64.5,"Ashwin to Cummins, no run",â€¢,driven straight to cover,Good,Outside Off
64.4,"Ashwin to Cummins, no run",â€¢,"lobs off the flap of the pad, wanted to play but left it at the last moment",Unknown,Off Stump
64.3,"Ashwin to Cummins, no run",â€¢,pads one away as it drifts in,Unknown,Leg Stump
64.2,"Ashwin to Cummins, no run",â€¢,"slow turn off a length, defended",Good,Off Stump
64.1,"Ashwin to Cummins, no run",â€¢,"skids one through outside off, left alone",Unknown,Outside Off
63.6,"Siraj to Starc, no run",â€¢,"beaten by one that leaves him late, much slower in pace. Deceived was Starc who threw his hands at that delivery",Unknown,Unknown
63.5,"Siraj to Starc, no run",â€¢,"gets this to bend back in a bit from outside off, defended",Unknown,Outside Off
63.4,"Siraj to Starc, no run",â€¢,"pushes this to cover, no feet that time",Good,Outside Off
