ball,bowler_batsman,result,commentary,length,line
20.6,"Yadav to Burns, SIX runs",6,"tipped over by fine leg! A win for Australia, a fifty for Burns. Short ball climbing up at leg stump, shifts his weight back and across and hooks aerially. The fielder at fine leg lunges backwards and to his right, one-handed. Gets his hand on it but can't keep his balance",Short,Leg Stump
20.5,"Yadav to Burns, no run",â€¢,"short at middle stump, on his toes to defend into the leg side",Short,Middle Stump
20.4,"Yadav to Burns, no run",â€¢,beaten. Short of a length and just outside off. Burns looks to roll his hands over that and steer it behind point. Gets too big on him,Good,Outside Off
20.3,"Yadav to Burns, no run",â€¢,"good length at leg stump, flicked to backward square",Good,Leg Stump
20.2,"Yadav to Burns, FOUR runs",4,"slashed past point. Good length and sliding on wide outside off. Half a stride out, reaches for it with his hands and drives it into the ground",Good,Outside Off
20.1,"Yadav to Smith, 1 run",1,"good length on leg stump, shuffles and clips to deep square",Good,Leg Stump
19.6,"Ashwin to Burns, no run",â€¢,"tossed up at middle stump, leans in and defends to short leg",Full,Middle Stump
19.5,"Ashwin to Labuschagne, OUT",W,"taken at mid-on. Ashwin still on the mark like he was in the first innings. Beautifully dipping length ball just outside off, slowing it down because Labuschagne has looked impatient. Steps out and looks to cart it over midwicket. It drops on him and then gets big. He can only sky it",Full,Outside Off
19.4,"Ashwin to Labuschagne, no run",â€¢,"short of a length and turning into the corridor, deep in the crease to chop to point",Good,Outside Off
19.3,"Ashwin to Burns, 1 run",1,good length and turning down leg. Gets on the back foot and dabs to fine leg,Good,Leg Stump
19.2,"Ashwin to Burns, FOUR runs",4,"swatted past backward square! Burns is a new man today. Full on leg stump, quickly in position, down on one knee, and a nice clean bat swing as he sweeps this fine",Full,Leg Stump
19.1,"Ashwin to Burns, no run",â€¢,"short of a length on leg stump, pushed to backward square with the turn",Good,Leg Stump
18.6,"Yadav to Labuschagne, no run",â€¢,bouncer at a middle and leg stump line. Ducks to let that go,Short,Middle Stump
18.5,"Yadav to Labuschagne, 2 runs",2,"short at off stump, nicely on top of the bounce to pull this to deep square's left",Short,Off Stump
18.4,"Yadav to Labuschagne, no run",â€¢,"good length at off stump, defended on the back foot",Good,Off Stump
18.3,"Yadav to Labuschagne, 2 runs",2,"good length and just outside off, drives on the rise and that pings off the thick outside edge through point",Good,Outside Off
18.2,"Yadav to Burns, 1 run",1,"full and into the pads again, flicked to deep square",Full,Leg Stump
18.1,"Yadav to Labuschagne, 1 run",1,"full on middle stump, leans in and flicks to deep square",Full,Middle Stump
17.6,"Ashwin to Burns, no run",â€¢,"tossed up outside off, blocked on the front foot",Full,Outside Off
