ball,bowler_batsman,result,commentary,length,line
15.5,"Lyon to Rahane, 1 run",1,"Rahane, quite fittingly, hits the winning runs, India level the series! This was short, spinning into middle and leg, Rahane pulls it to backward square leg, where there's a misfield. The ghosts of Adelaide buried emphatically.",Short,Middle Stump
15.4,"Lyon to Rahane, no run",â€¢,works this with the spin to square leg again,Unknown,Leg Stump
15.3,"Lyon to Rahane, no run",â€¢,"steps out, Lyon shortens his length, Rahane whips this straight to Green at square leg",Good,Leg Stump
15.2,"Lyon to Rahane, no run",â€¢,"works this to midwicket, looks for a single but is sent back.",Unknown,Unknown
15.1,"Lyon to Rahane, no run",â€¢,right behind the line as he defends this skiddy length delivery,Good,Unknown
14.6,"Labuschagne to Rahane, 3 runs",3,"full toss outside off and Rahane caresses this into the gap at extra cover, Hazlewood gives it chase to pull it back in, they'll take three ands the scores are level",Yorker,Outside Off
14.5,"Labuschagne to Rahane, no run",â€¢,"keeps a tad low as he rocks back to pull, hit straight to backward square leg",Short,Leg Stump
14.4,"Labuschagne to Rahane, no run",â€¢,punches this length ball to point,Good,Outside Off
14.3,"Labuschagne to Gill, 1 run",1,rocks back and cuts to point,Unknown,Outside Off
14.2,"Labuschagne to Gill, FOUR runs",4,flicks this full toss superbly wide of mid-on. So much wrist in that as he fetched it from middle and off,Yorker,Outside Off
14.1,"Labuschagne to Rahane, 1 run",1,"short, pulled from outside off to deep square leg",Short,Outside Off
13.6,"Lyon to Gill, no run",â€¢,good stride forward as he defends with soft hands,Unknown,Unknown
13.5,"Lyon to Rahane, 1 run",1,works it with the spin to deep square,Unknown,Unknown
13.4,"Lyon to Rahane, no run",â€¢,goes right back into the crease and blocks,Unknown,Unknown
13.3,"Lyon to Rahane, no run",â€¢,lunges forward and defends,Unknown,Unknown
13.2,"Lyon to Rahane, 2 runs",2,"dropped at long-on by Starc diving to his right. Rahane steps out but doesn't get to the pitch, looks to hit it squarer but it's no more than a chip. Starc did all the hard work in getting to the ball but couldn't hold on",Good,Unknown
13.1,"Lyon to Rahane, no run",â€¢,gets well forward and defends,Unknown,Unknown
12.6,"Hazlewood to Gill, no run",â€¢,"full on off, defended back",Full,Off Stump
12.5,"Hazlewood to Gill, FOUR runs",4,imperious! Picks the length early and pulls magnificently in front of square.,Good,Unknown
12.4,"Hazlewood to Gill, no run",â€¢,right behind the line as he defends this incoming length delivery,Good,Unknown
12.3,"Hazlewood to Gill, no run",â€¢,gets well forward and defends it right under his nose,Full,Unknown
12.2,"Hazlewood to Gill, no run",â€¢,tickles the trouser on the way through to Paine. This was angled down leg with Gill looking to flick it fine,Unknown,Leg Stump
12.1,"Hazlewood to Gill, no run",â€¢,"angles in a length ball on middle, defended towards mid-on",Good,Middle Stump
11.6,"Lyon to Rahane, no run",â€¢,"steps out to work it through midwicket, ends up defending it.",Unknown,Unknown
11.5,"Lyon to Gill, 1 run",1,works this gently to short fine leg,Short,Leg Stump
11.4,"Lyon to Gill, no run",â€¢,sharp turn but Gill is well forward as he defends back,Unknown,Unknown
11.3,"Lyon to Gill, no run",â€¢,"flatter one on the stumps, defended back",Good,Unknown
11.2,"Lyon to Gill, no run",â€¢,"flatter one outside off, he gets outside the line and defends",Good,Outside Off
11.1,"Lyon to Gill, no run",â€¢,"steps out, lunges forward and blocks",Unknown,Unknown
10.6,"Hazlewood to Rahane, FOUR runs",4,"boss! That is the shot of the morning. By no means a half-volley but he stands tall and punches this on the up through cover. Held his pose for the cameras, just tells you how much he enjoyed that.",Good,Outside Off
10.5,"Hazlewood to Rahane, no run",â€¢,driven to mid-on off a thickish inside edge,Good,Off Stump
10.4,"Hazlewood to Rahane, no run",â€¢,"has a flay at that but is beaten, not quite short enough fort him to play that through point",Short,Outside Off
10.3,"Hazlewood to Rahane, no run",â€¢,nice and full on the stumps to defend this back to the bowler,Full,Unknown
10.2,"Hazlewood to Rahane, 2 runs",2,"top-edges this hook, in the air for a long time, but it lands between deep fine leg and deep backward square. Wasn't in any control of that shot",Short,Leg Stump
10.1,"Hazlewood to Rahane, FOUR runs",4,"beautiful shot! This is short, enough width and Rahane plays an exquisite cut shot. Uppish but there was no one at point",Short,Outside Off
9.6,"Cummins to Gill, no run",â€¢,"driven back, good stop by Cummins on his followthrough",Unknown,Unknown
9.5,"Cummins to Gill, no run",â€¢,"short ball angling in, Gill ducks under this",Short,Unknown
9.4,"Cummins to Gill, FOUR runs",4,"squeezed away into the gap between gully and backward point, this came off a thick outside edge as he opened the bat face and went hard at that full delivery",Full,Outside Off
9.3,"Cummins to Gill, no run",â€¢,solid forward press as he defends this full delivery to cover point,Full,Outside Off
9.2,"Cummins to Rahane, 1 run",1,works this into the gap at midwicket as they complete the single,Unknown,Unknown
9.1,"Cummins to Gill, 1 run",1,works it off his hip to long leg,Unknown,Off Stump
8.6,"Hazlewood to Rahane, no run",â€¢,superb balance as he gets well forward and defends again,Unknown,Unknown
